představ	přectaf,přetstaf
několik	ňekolik
nechala	nexala
jezdili	jezďili
jednak	jednak
dobry	dobri
takove	takove
psa	psa
červený	červení
řikáš	řikáš
němu	ňemu
místa	místa
minimálně	minimálňe
jaké	jaké
jaká	jaká
znovu	znovu
zemi	zemi
prvního	prvňího
pracovat	pracovat
hrajou	hrajou
zajímalo	zajímalo
vdycky	vdicki
slyšela	slišela
dále	dále
část	část
bydlet	bidlet
začalo	začalo
uděláš	uďeláš
teplo	teplo
takoví	takoví
sedět	seďet
jinou	jinou
chudák	xudák
volno	volno
vlak	vlak
přídou	přídou
potřebuješ	potřebuješ
normalně	normalňe
mnohem	mnohem
všeho	fšeho
takovy	takovi
stane	stane
povidám	povidám
klid	klit
bytě	biťe
vlastní	vlastňí,vlasťňí
tych	tix
ségra	ségra
psát	psát
nechám	nexám
jiné	jiné
ach	ax
třídy	třídi
nemocnici	nemocňici
nechali	nexali
jíst	jíst
vevnitř	vevňitř
šly	šli
poám	poám
dostaneš	dostaneš
dlouhý	dlouhí
díval	ďíval
copak	copak
člověka	človjeka
vyšlo	višlo
štrnáct	štrnáct
příště	příšťe
počasí	počasí
pěšky	pješki
méno	méno
ahoj	ahoj
zahradě	zahraďe
všecky	fšecki
udělaný	uďelaní
otázka	otáska
napadlo	napadlo
mobil	mobil
kůli	kúli
jedné	jedné
doprava	doprava
vzadu	vzadu
takových	takovíx
pěknej	pjeknej
oběd	objet
nebudem	nebudem
městě	mňesťe
bydleli	bidleli
během	bjehem
víte	víte
pěkné	pjekné
každou	každou
bílý	bílí
nemůžou	nemúžou
nelíbí	nelíbí
naopak	naopak
místě	mísťe
jemu	jemu
firma	firma
dřevo	dřevo
černý	černí
zapomněla	zapomňela
vezmeš	vezmeš
prdele	prdele
malé	malé
hotový	hotoví
žádnou	žádnou
štvrtě	štvrťe
patnác	patnác
papír	papír
něčem	ňečem
majú	majú
lesa	lesa
jéžiš	jéžiš
dolu	dolu
číst	číst
bývá	bívá
bychom	bixom
velmi	velmi
pravdu	pravdu
koukám	koukám
knížku	kňíšku
čemu	čemu
taký	takí
nama	nama
ňákým	ňákím
Michal	mixal
dem	dem
dají	dají
zaplatit	zaplaťit
srandu	srandu
smysl	smisl
seděla	seďela
řikaj	řikaj
povidal	povidal
hrůza	hrúza
hodí	hoďí
dětí	ďeťí
všem	fšem
tuto	tuto
nejak	nejak
každá	každá
brďo	brďo
akci	akci
žije	žije
různě	rúzňe
původně	púvodňe,púvoďňe
menčí	menčí
dívala	ďívala
deme	deme
dávala	dávala
autobusem	autobusem
ženská	ženská
vařit	vařit
třech	třex
řeknou	řeknou
prdeli	prdeli
nekde	negde
jiného	jiného
drží	drží
zvědavá	zvjedavá
země	zemňe
rána	rána
přeci	přeci
kluka	kluka
kamarád	kamarát
dnů	dnú
dávaj	dávaj
zkrátka	skrátka
tendle	tendle
schválně	sxválňe
nemohli	nemohli
naší	naší
jedny	jedni
zkus	skus
tohodle	tohodle
sedumdesát	sedumdesát
plný	plní
otec	otec
nějaká	ňejaká
musíte	musíte
čekat	čekat
rámci	rámci
podobně	podobňe
počky	počki
nechá	nexá
hospoda	hospoda
cokoliv	cokolif
bytu	bitu
beru	beru
zkoušky	skouški
zjistil	zjisťil
zapomněl	zapomňel
staré	staré
spat	spat
šesti	šesťi
pětadvacet	pjetadvacet
nemohl	nemohl
nemají	nemají
můžete	múžete
poprvé	poprvé
mluvila	mluvila
lidem	lidem
kromě	kromňe
jelo	jelo
zřejmě	zřejmňe
velké	velké
vadí	vaďí
Tomáš	tomáš
přijedou	přijedou
napíšu	napíšu
tama	tama
néni	néňi
lese	lese
koupíš	koupíš
knížky	kňíški
cestě	cesťe
bože	bože
sníh	sňíx
rodina	roďina
jedeme	jedeme
jedem	jedem
euro	euro
dne	dne
tatínek	taťínek
tá	tá
šílený	šílení
ostatní	ostatňí,ostaťňí
jakmile	jakmile
ideální	ideálňí
dobre	dobre
televize	televize
nové	nové
něma	ňema
dvanác	dvanác
domluvit	domluvit
dni	dňi,ďňi
vyšší	viší
veme	veme
silnice	silňice
plno	plno
nová	nová
neto	neto
može	može
holt	holt
buďto	buťto
blázen	blázen
absolutně	apsolutňe,apsoluťňe
ukázat	ukázat
systém	sistém
psali	psali
Peťa	peťa
nemocnice	nemocňice
ňáko	ňáko
mladej	mladej
končí	končí
jednoduchý	jednoduxí
děje	ďeje
zavolat	zavolat
vydrží	vidrží
voba	voba
téma	téma
tedy	tedi
nemusim	nemusim
mužeš	mužeš
jedenáct	jedenáct
hlavy	hlavi
doktorka	doktorka
ceny	ceni
záda	záda
samé	samé
prostor	prostor
pokuď	pokuť
počítače	počítače
něčeho	ňečeho
mohly	mohli
mluvili	mluvili
malou	malou
kteří	kteří
jaksi	jaksi
hlad	hlat
vtipný	fťipní
pudeš	pudeš
narozeniny	narozeňini
koupim	koupim
každopádně	každopádňe,každopáďňe
hrozná	hrozná
dejme	dejme
choděj	xoďej
zeď	zeť
vlakem	vlakem
tamto	tamto
ryby	ribi
pul	pul
připadá	připadá
poměrně	pomňerňe
piva	piva
nemělo	nemňelo
minulej	minulej
dům	dúm
dovnitř	dovňitř
česky	česki
začít	začít
vosum	vosum
přídeš	přídeš
nechodí	nexoďí
možné	možné
kdybys	gdibis
dívat	ďívat
zkoušku	skoušku
zdi	zďi
základní	základňí,záklaďňí
správně	správňe
sestra	sestra
postel	postel
okamžitě	okamžiťe
naučit	naučit
dojde	dojde
vaše	vaše
řikat	řikat
nebaví	nebaví
Míša	míša
Martina	marťina
došlo	došlo
čau	čau
vrátit	vráťit
svoji	svoji
střední	středňí,střeďňí
stačilo	stačilo
okna	okna
našli	našli
matka	matka
Lucka	lucka
ježiši	ježiši
jazyk	jazik
dam	dam
chybí	xibí
centimetrů	centimetrú
čeká	čeká
blbej	blbej
zjistila	zjisťila
začla	začla
vybrat	vibrat
třídě	tříďe
též	téš
pokoji	pokoji
nedělu	neďelu
nápad	nápat
komu	komu
jinam	jinam
hrozné	hrozné
deseti	deseťi
delší	delší
ba	ba
angličtinu	aŋgličťinu
začli	začli
uvidíš	uviďíš
umřel	umřel
stála	stála
ruky	ruki
pracuje	pracuje
nepude	nepude
menší	menší
málem	málem
karty	karti
chcou	xcou
víkendu	víkendu
vezme	vezme
ulici	ulici
svý	sví
promiň	promiň
potřebovala	potřebovala
Karel	karel
hnusný	hnusní
došli	došli
čekal	čekal
vysoký	visokí
vážně	vážňe
ukážu	ukážu
spí	spí
sehnat	sehnat
říkat	říkat
přijet	přijet
neřekla	neřekla
nechtěli	nexťeli
možeš	možeš
levnější	levňejší
kurňa	kurňa
čet	čet
voběd	vobjet
pamatuješ	pamatuješ
nějakej	ňejakej
neděle	neďele
bavil	bavil
ždycky	ždicki
většina	vječina,vjetšina
Veselí	veselí
takovým	takovím
postupně	postupňe
pole	pole
hlavě	hlavje
gymplu	gimplu
dozadu	dozadu
chodim	xoďim
blízko	blísko
blbá	blbá
ženský	ženskí
víceméně	víceméňe
směrem	smňerem
prakticky	prakticki
pohoda	pohoda
podzim	podzim,poʒim
nedal	nedal
lidma	lidma
došla	došla
doba	doba
chodíš	xoďíš
zkoušel	skoušel
zájem	zájem
sednout	sednout
povidala	povidala
počítači	počítači
nevěděli	nevjeďeli
Lenka	leŋka
kuchyň	kuxiň
koukali	koukali
každé	každé
čtyry	čtiri
chatě	xaťe
bavilo	bavilo
zdraví	zdraví
tyhle	tihle
teče	teče
stovek	stovek
pojedeš	pojedeš
pičo	pičo
papíry	papíri
léto	léto
kalhoty	kalhoti
hotel	hotel
firmy	firmi
světě	svjeťe
slyšet	slišet
sere	sere
říkam	říkam
pracovní	pracovňí
paráda	paráda
oba	oba
nesmíš	nesmíš
něčim	ňečim
nádherný	nádherní
manželka	manʒ̆elka,manželka
koukat	koukat
di	ďi
babičky	babički
žencká	žencká
zahradu	zahradu
tadle	tadle
sakra	sakra
nešel	nešel
kopce	kopce
hroznej	hroznej
zimu	zimu
zem	zem
vztah	fstax
prd	prt
pití	piťí
musi	musi
místnosti	místnosťi
mame	mame
kuchyni	kuxiňi
krát	krát
koupí	koupí
bral	bral
večeři	večeři
typ	tip
tadydle	tadidle
stupňů	stupňú
osmi	osmi
nemáte	nemáte
nechtělo	nexťelo
filmu	filmu
důchodu	dúxodu
dokola	dokola
berou	berou
včil	fčil
trošičku	trošičku
svojí	svojí
stejné	stejné
pré	pré
Ondra	ondra
nepříde	nepříde
někym	ňekim
nekdo	negdo
muže	muže
jedinej	jeďinej
Jarda	jarda
dejte	dejte
cesty	cesti
babičce	babičce
zelený	zelení
žádné	žádné
trvá	trvá
stovku	stofku
pojedeme	pojedeme
litrů	litrú
kamarádka	kamarátka
filmy	filmi
druhýho	druhího
blbec	blbec
zná	zná
zbytečně	zbitečňe
vína	vína
udělaj	uďelaj
teprv	teprf
studovat	studovat
poslal	poslal
noční	nočňí
neumim	neumim
nešla	nešla
najde	najde
kráva	kráva
hry	hri
holku	holku
fotku	fotku
důležitý	dúležití
dostanu	dostanu
celkově	celkovje
brala	brala
abyste	abiste
tří	tří
tenle	tenle
slova	slova
rodiny	roďini
půlka	púlka
Petra	petra
mladá	mladá
jit	jit
hledat	hledat
dopadne	dopadne
dokud	dokut
dětma	ďetma
Dana	dana
chatu	xatu
tomhle	tomhle
stránky	stráŋki
spal	spal
přijedu	přijedu
prášky	práški
Pepa	pepa
kupovala	kupovala
hlava	hlava
dopadlo	dopadlo
chceme	xceme
brali	brali
úžasný	úžasní
udělej	uďelej
trvalo	trvalo
rohu	rohu
pustit	pusťit
praxi	praksi
metru	metru
menovalo	menovalo
David	davit
brejle	brejle
zajímavé	zajímavé
vypadat	vipadat
vrátil	vráťil
vobě	vobje
veliký	velikí
učil	učil
tvůj	tvúj
prázdniny	prázdňini,prázďňini
lístek	lístek
dvaceti	dvaceťi
vemeš	vemeš
věděli	vjeďeli
takovýhle	takovíhle
prože	prože
ňou	ňou
nenapadlo	nenapadlo
nedalo	nedalo
minuty	minuti
